Ad,SubAccount,TotalLeads,Conversions,ConversionRate
23848283930340235 - Image 2,S??ñ?s ?n?d?s,3,0,0.0
23854339548530734 - Image 1,?n?t?d Fr??d?m R??lty,3,1,0.3333333333333333
23848283930340235 - Image 7,S??ñ?s ?n?d?s,3,3,1.0
23851813107780554 - Image 3,R?/M?X ?N? P?LMD?L?,3,0,0.0
23848694716140131 - Image 2,L?dy M?rt?n?z,3,0,0.0
23851755922530554 - Image 4,?l?x C?rd?v?,3,0,0.0
23852894791340430 - Image 4,M?rth? T?rn?r S?th?by's ?nt?rn?t??n?l R??lty,3,0,0.0
23852894791340430 - Image 2,M?rth? T?rn?r S?th?by's ?nt?rn?t??n?l R??lty,3,0,0.0
23851920745230131 - image 2,R?/M?X ?N? P?LMD?L?,3,0,0.0
23852818986320430 - Image 3,D?v?d T?rr?s,3,1,0.3333333333333333
23852877056540131 - Image 1,H&T Pr?p?rt??s,3,0,0.0
23852648720500729 - Image 3,?l?c?s M?l?nd?z c?n ?ll??nc? R??l ?st?t?,3,2,0.6666666666666666
23852807253760430 - Image 3,Br?tt B??rd - H&T Pr?p?rt??s,3,1,0.3333333333333333
23854393358630734 - Image 2,?n?t?d Fr??d?m R??lty,3,0,0.0
23852877056540131 - Image 1,Br?tt B??rd - H&T Pr?p?rt??s,3,0,0.0
23853453460240708 - Image 4,C?nt?ry 21 M?st?rs,3,0,0.0
23850461783140556 - Image 3,B?rn?s ?nt?rn?t??n?l,2,0,0.0
23848283930340235 - Image 1,S??ñ?s ?n?d?s,2,1,0.5
23849530828510279 - Image 5,M?lt?n ?rr?y?,2,0,0.0
23852878840540708 - Image 1,H&T Pr?p?rt??s,2,0,0.0
23853044045860430 - Image 1,Gr?c? M?z? - C?dd?ll,2,0,0.0
23853043948580430 - Image 3,Cl??d?? Wh?t? ? Yv?tt? G?r?y,2,0,0.0
23852807253760430 - Image 2,Br?tt B??rd - H&T Pr?p?rt??s,2,0,0.0
23852807253760430 - Image 1,Br?tt B??rd - H&T Pr?p?rt??s,2,0,0.0
23852806253400430 - Image 4,R?/M?X ?N? P?LMD?L?,2,0,0.0
23853196633870183 - Image 3,R?b?n R?g?l?d? C?r? R??l ?st?t?,2,0,0.0
23852794097540745 - Image 4,Gr?c? M?z? - C?dd?ll,2,1,0.5
23852794097540745 - Image 2,Gr?c? M?z? - C?dd?ll,2,0,0.0
23852292829350131 - Image 3,C?mp?s ?nt?rn?t??n?l Gr??p - M?ryl?nd,2,0,0.0
23852793253950131 - Image 5,R?b?n R?g?l?d? C?r? R??l ?st?t?,2,0,0.0
23852676633870657 - Image 4,Cl??d?? Wh?t? ? Yv?tt? G?r?y,2,0,0.0
23854339548530734 - Image 4,?n?t?d Fr??d?m R??lty,2,0,0.0
23852878840540708 - Image 3,H&T Pr?p?rt??s,2,1,0.5
23847418475480235 - Image 5,S??ñ?s ?n?d?s,2,0,0.0
23854339548530734 - Image 2,?n?t?d Fr??d?m R??lty,2,1,0.5
23851149622980131 - Image 5,??w? C?mpr? y V?nt? d? C?s?s,2,0,0.0
23852840710880131 - Image 1,R?c?rd? R??z - GK Pr?p?rt??s,2,0,0.0
23852706870330430 - Image 2,Pr?m?T?m? R??lt?rs,2,0,0.0
23853453460240708 - Image 1,C?nt?ry 21 M?st?rs,2,1,0.5
23852894791340430 - Image 1,M?rth? T?rn?r S?th?by's ?nt?rn?t??n?l R??lty,2,1,0.5
23852564330740072 - Image 3,R?D R??l ?st?t?,2,0,0.0
23851755922530554 - Image 2,?l?x C?rd?v?,1,1,1.0
23851842743270430 - Image 2,R?zrGr??p,1,0,0.0
23851765532490554 - Image 1,D?v?d T?rr?s,1,1,1.0
23851842570510430 - Image 5,L?k? M?ch?g?n R??lty M?n?g?m?nt,1,0,0.0
23851149622980131 - Image 6,??w? C?mpr? y V?nt? d? C?s?s,1,0,0.0
23851813107780554 - Image 4,R?/M?X ?N? P?LMD?L?,1,0,0.0
23851806024990131 - Image 2,C?s? S?ñ?d? KC,1,0,0.0
23851310960030430 - Image 1,?rt M?nd?z? R??lt?r,1,0,0.0
23852327459590430 - Image 4,M?lt?n ?rr?y?,1,0,0.0
23849530828510279 - Image 6,M?lt?n ?rr?y?,1,0,0.0
23852603345370676 - Image 2,?rt M?nd?z? R??lt?r,1,0,0.0
23852793253950131 - Image 4,R?b?n R?g?l?d? C?r? R??l ?st?t?,1,0,0.0
23852840371480131 - Image 2,Br?tt B??rd - H&T Pr?p?rt??s,1,0,0.0
23852840371480131 - Image 2,H&T Pr?p?rt??s,1,0,0.0
23852840371480131 - Image 4,Br?tt B??rd - H&T Pr?p?rt??s,1,0,0.0
23852840371480131 - Image 4,H&T Pr?p?rt??s,1,0,0.0
23852610079770430 - Image 4,V?l?r?? S?lv? R??lt?r,1,0,0.0
23852610079770430 - Image 2,V?l?r?? S?lv? R??lt?r,1,0,0.0
23847625959810235 - Image 1,S??ñ?s ?n?d?s,1,0,0.0
23852603345370676 - Image 3,?rt M?nd?z? R??lt?r,1,0,0.0
23852557185360657 - Image 1,Cl??d?? Wh?t? ? Yv?tt? G?r?y,1,0,0.0
23853043987400430 - Image 3,?n?t?d Fr??d?m R??lty,1,0,0.0
23852538024010131 - Image 3,M?r??l? M?rt?n?z,1,0,0.0
23852392890210131 - Image 5,H&T Pr?p?rt??s,1,0,0.0
23852392890210131 - Image 5,Br?tt B??rd - H&T Pr?p?rt??s,1,0,0.0
23852340217630071 - Image 2,M?r??l? M?rt?n?z,1,0,0.0
23852807253760430 - Image 4,Br?tt B??rd - H&T Pr?p?rt??s,1,0,0.0
23852327459590430 - Image 3,M?lt?n ?rr?y?,1,0,0.0
23848590450780179 - Image 3,D?v?d T?rr?s,1,1,1.0
23852078169570131 - Image 5,R?c?rd? R??z - GK Pr?p?rt??s,1,0,0.0
23851920745230131 - image 4,R?/M?X ?N? P?LMD?L?,1,1,1.0
23854393358630734 - Image 4,?n?t?d Fr??d?m R??lty,1,0,0.0
